State Code,State Name,Year,Unemployment Rate,Alcohol Consumption,Health Status,"Cancer cases per 100,000 persons",Life Expectancy
ISL,Iceland,2014,5.458333333333,7.00000000,,,
ISR,Israel,2014,5.873101833333,2.70000000,,,
ITA,Italy,2014,12.766666666667,7.60000000,,,
JPN,Japan,2014,3.583333333333,7.10000000,,,
KOR,Korea,2014,3.508333333333,8.90000000,,,
LTU,Lithuania,2014,10.733333333333,14.20000000,,,
LUX,Luxembourg,2014,6.033333333333,11.60000000,,,
LVA,Latvia,2014,10.825000000000,10.60000000,,,
MEX,Mexico,2014,4.828969916667,4.00000000,,,
NLD,Netherlands,2014,8.341666666667,8.40000000,,,
NOR,Norway,2014,3.783333333333,6.10000000,,,
NZL,New Zealand,2014,,9.10000000,,,
OECD,OECD,2014,7.450806250000,,,,
PER,Peru,2014,,5.50000000,,,
POL,Poland,2014,9.216666666667,10.50000000,,,
PRT,Portugal,2014,14.650000000000,10.20000000,,,
ROU,Romania,2014,,9.50000000,,,
RUS,Russia,2014,,14.00000000,,,
SVK,Slovak Republic,2014,13.091666666667,10.10000000,,,
SVN,Slovenia,2014,9.708333333333,10.90000000,,,
SWE,Sweden,2014,8.108333333333,7.20000000,,,
TUR,T??rkiye,2014,9.891666666667,1.50000000,,,
USA,United States,2014,6.158333333333,8.80000000,,,
ZAF,South Africa,2014,,7.20000000,,,
ARG,Argentina,2015,,8.50000000,76.80000000,,76.80000000
AUS,Australia,2015,6.057682166667,9.80000000,82.40000000,,82.40000000
AUT,Austria,2015,6.158333333333,11.20000000,81.30000000,,81.30000000
BEL,Belgium,2015,8.658333333333,10.40000000,81.10000000,,81.10000000
BGR,Bulgaria,2015,,10.90000000,74.70000000,,74.70000000
BRA,Brazil,2015,,9.20000000,74.30000000,,74.30000000
CAN,Canada,2015,6.950000000000,8.00000000,81.90000000,,81.90000000
CHE,Switzerland,2015,,8.90000000,83.00000000,,83.00000000
CHL,Chile,2015,6.367418333333,7.90000000,79.80000000,,79.80000000
CHN,China (People???s Republic of),2015,,5.70000000,76.70000000,,76.70000000
COL,Colombia,2015,8.941139083333,4.20000000,75.40000000,,75.40000000
CRI,Costa Rica,2015,9.608716583333,3.20000000,79.90000000,,79.90000000
CZE,Czechia,2015,5.050000000000,11.50000000,78.70000000,,78.70000000
DEU,Germany,2015,4.358333333333,11.10000000,80.70000000,,80.70000000
DNK,Denmark,2015,6.266666666667,9.90000000,80.80000000,,80.80000000
EA20,Euro area (20 countries),2015,10.975000000000,,,,
ESP,Spain,2015,22.066666666667,10.40000000,83.00000000,,83.00000000
EST,Estonia,2015,6.375000000000,10.60000000,78.00000000,,78.00000000
EU27_2020,European Union (27 countries from 01/02/2020),2015,10.183333333333,,,,
FIN,Finland,2015,9.450000000000,8.50000000,81.60000000,,81.60000000
FRA,France,2015,10.341666666667,11.90000000,82.40000000,,82.40000000
G7,G7,2015,5.788625833333,,,,
GBR,United Kingdom,2015,5.408333333333,9.50000000,80.90000000,,80.90000000
GRC,Greece,2015,24.966666666667,6.70000000,81.10000000,,81.10000000
HRV,Croatia,2015,,9.60000000,77.50000000,,77.50000000
HUN,Hungary,2015,6.491666666667,10.80000000,75.70000000,,75.70000000
IDN,Indonesia,2015,,0.10000000,69.50000000,,69.50000000
IND,India,2015,,3.00000000,69.10000000,,69.10000000
IRL,Ireland,2015,9.933333333333,10.70000000,81.50000000,,81.50000000
ISL,Iceland,2015,4.566666666667,7.70000000,82.50000000,,82.50000000
ISR,Israel,2015,5.246891750000,2.70000000,82.20000000,,82.20000000
ITA,Italy,2015,12.008333333333,7.10000000,82.70000000,,82.70000000
JPN,Japan,2015,3.375000000000,7.20000000,83.90000000,,83.90000000
KOR,Korea,2015,3.600000000000,9.10000000,82.10000000,,82.10000000
LTU,Lithuania,2015,9.141666666667,14.00000000,74.60000000,,74.60000000
LUX,Luxembourg,2015,6.458333333333,11.50000000,82.40000000,,82.40000000
LVA,Latvia,2015,9.883333333333,10.80000000,74.80000000,,74.80000000
MEX,Mexico,2015,4.353409500000,4.30000000,74.70000000,,74.70000000
NLD,Netherlands,2015,7.908333333333,8.30000000,81.60000000,,81.60000000
NOR,Norway,2015,4.675000000000,6.00000000,82.40000000,,82.40000000
NZL,New Zealand,2015,,8.70000000,81.50000000,,81.50000000
OECD,OECD,2015,6.886936000000,,,,
PER,Peru,2015,,5.70000000,75.30000000,,75.30000000
POL,Poland,2015,7.658333333333,10.50000000,77.50000000,,77.50000000
PRT,Portugal,2015,13.016666666667,10.30000000,81.30000000,,81.30000000
ROU,Romania,2015,,9.50000000,74.90000000,,74.90000000
RUS,Russia,2015,,13.30000000,71.30000000,,71.30000000
SVK,Slovak Republic,2015,11.466666666667,10.20000000,76.70000000,,76.70000000
SVN,Slovenia,2015,8.975000000000,11.50000000,80.90000000,,80.90000000
SWE,Sweden,2015,7.591666666667,7.10000000,82.20000000,,82.20000000
TUR,T??rkiye,2015,10.316666666667,1.40000000,78.00000000,,78.00000000
USA,United States,2015,5.275000000000,8.80000000,78.70000000,,78.70000000
ZAF,South Africa,2015,,7.20000000,63.40000000,,63.40000000
ARG,Argentina,2016,,8.40000000,76.80000000,,76.80000000
AUS,Australia,2016,5.718781666667,9.50000000,82.40000000,,82.40000000
AUT,Austria,2016,6.466666666667,11.40000000,81.80000000,,81.80000000
BEL,Belgium,2016,7.841666666667,9.40000000,81.50000000,,81.50000000
BGR,Bulgaria,2016,,11.10000000,74.90000000,,74.90000000
BRA,Brazil,2016,,9.70000000,74.30000000,,74.30000000
CAN,Canada,2016,7.033333333333,8.10000000,82.00000000,,82.00000000
CHE,Switzerland,2016,,8.70000000,83.70000000,,83.70000000
CHL,Chile,2016,6.682754500000,6.40000000,80.00000000,,80.00000000
CHN,China (People???s Republic of),2016,,5.60000000,77.00000000,,77.00000000
COL,Colombia,2016,9.218801583333,4.50000000,75.70000000,,75.70000000
CRI,Costa Rica,2016,9.471810250000,3.40000000,80.00000000,,80.00000000
CZE,Czechia,2016,3.950000000000,11.70000000,79.10000000,,79.10000000
DEU,Germany,2016,3.933333333333,11.00000000,81.00000000,,81.00000000
DNK,Denmark,2016,5.983333333333,10.00000000,80.90000000,,80.90000000
EA20,Euro area (20 countries),2016,10.108333333333,,,,
ESP,Spain,2016,19.633333333333,10.90000000,83.50000000,,83.50000000
EST,Estonia,2016,6.841666666667,10.20000000,78.00000000,,78.00000000
EU27_2020,European Union (27 countries from 01/02/2020),2016,9.250000000000,,,,
FIN,Finland,2016,8.925000000000,8.40000000,81.50000000,,81.50000000
FRA,France,2016,10.066666666667,11.70000000,82.70000000,,82.70000000
G7,G7,2016,5.444116416667,,,,
GBR,United Kingdom,2016,4.966666666667,9.50000000,81.00000000,,81.00000000
GRC,Greece,2016,23.891666666667,6.70000000,81.50000000,,81.50000000
HRV,Croatia,2016,,10.00000000,78.20000000,,78.20000000
HUN,Hungary,2016,4.900000000000,11.10000000,76.20000000,,76.20000000
IDN,Indonesia,2016,,0.10000000,69.70000000,,69.70000000
IND,India,2016,,3.00000000,69.60000000,,69.60000000
IRL,Ireland,2016,8.383333333333,11.20000000,81.70000000,,81.70000000
ISL,Iceland,2016,3.366666666667,7.50000000,82.20000000,,82.20000000
ISR,Israel,2016,4.821075666667,2.70000000,82.50000000,,82.50000000
ITA,Italy,2016,11.725000000000,7.10000000,83.40000000,,83.40000000
JPN,Japan,2016,3.108333333333,7.20000000,84.10000000,,84.10000000
KOR,Korea,2016,3.675000000000,8.70000000,82.40000000,,82.40000000
LTU,Lithuania,2016,7.916666666667,13.20000000,74.90000000,,74.90000000
LUX,Luxembourg,2016,6.308333333333,11.40000000,82.70000000,,82.70000000
LVA,Latvia,2016,9.650000000000,11.30000000,74.90000000,,74.90000000
MEX,Mexico,2016,3.885288250000,4.40000000,74.80000000,,74.80000000
NLD,Netherlands,2016,7.008333333333,8.20000000,81.70000000,,81.70000000
NOR,Norway,2016,4.908333333333,6.00000000,82.50000000,,82.50000000
NZL,New Zealand,2016,,8.90000000,81.60000000,,81.60000000
OECD,OECD,2016,6.471139666667,,,,
PER,Peru,2016,,5.60000000,75.60000000,,75.60000000
POL,Poland,2016,6.258333333333,10.50000000,78.00000000,,78.00000000
PRT,Portugal,2016,11.466666666667,10.40000000,81.30000000,,81.30000000
ROU,Romania,2016,,9.60000000,75.20000000,,75.20000000
RUS,Russia,2016,,13.00000000,71.80000000,,71.80000000
SVK,Slovak Republic,2016,9.650000000000,9.90000000,77.30000000,,77.30000000
SVN,Slovenia,2016,7.975000000000,10.50000000,81.20000000,,81.20000000
SWE,Sweden,2016,7.133333333333,7.20000000,82.40000000,,82.40000000
TUR,T??rkiye,2016,10.883333333333,1.30000000,78.00000000,,78.00000000
USA,United States,2016,4.875000000000,8.90000000,78.70000000,,78.70000000
ZAF,South Africa,2016,,7.30000000,64.00000000,,64.00000000
ARG,Argentina,2017,,8.30000000,76.30000000,,76.30000000
AUS,Australia,2017,5.605397416667,9.50000000,82.50000000,,82.50000000
AUT,Austria,2017,5.925000000000,11.30000000,81.70000000,,81.70000000
BEL,Belgium,2017,7.116666666667,9.30000000,81.60000000,,81.60000000
BGR,Bulgaria,2017,,10.90000000,74.80000000,,74.80000000
BRA,Brazil,2017,,9.20000000,74.40000000,,74.40000000
CAN,Canada,2017,6.408333333333,8.20000000,81.90000000,,81.90000000
CHE,Switzerland,2017,,8.60000000,83.70000000,,83.70000000
CHL,Chile,2017,6.971921500000,5.70000000,80.20000000,,80.20000000
CHN,China (People???s Republic of),2017,,5.30000000,77.20000000,,77.20000000
COL,Colombia,2017,9.288938250000,4.20000000,75.90000000,,75.90000000
CRI,Costa Rica,2017,9.169828916667,3.30000000,80.20000000,,80.20000000
CZE,Czechia,2017,2.908333333333,11.60000000,79.10000000,,79.10000000
DEU,Germany,2017,3.558333333333,10.90000000,81.10000000,,81.10000000
DNK,Denmark,2017,5.825000000000,9.70000000,81.10000000,,81.10000000
EA20,Euro area (20 countries),2017,9.125000000000,,,,
ESP,Spain,2017,17.241666666667,10.90000000,83.40000000,,83.40000000
EST,Estonia,2017,5.841666666667,10.30000000,78.40000000,,78.40000000
EU27_2020,European Union (27 countries from 01/02/2020),2017,8.275000000000,,,,
FIN,Finland,2017,8.733333333333,8.40000000,81.70000000,,81.70000000
FRA,France,2017,9.416666666667,11.70000000,82.70000000,,82.70000000
G7,G7,2017,4.976053750000,,,,
GBR,United Kingdom,2017,4.450000000000,9.70000000,81.10000000,,81.10000000
GRC,Greece,2017,21.850000000000,6.70000000,81.40000000,,81.40000000
HRV,Croatia,2017,,9.70000000,78.00000000,,78.00000000
HUN,Hungary,2017,4.016666666667,10.70000000,76.00000000,,76.00000000
IDN,Indonesia,2017,,0.10000000,69.80000000,,69.80000000
IND,India,2017,,2.90000000,70.10000000,,70.10000000
IRL,Ireland,2017,6.766666666667,11.00000000,82.20000000,,82.20000000
ISL,Iceland,2017,3.300000000000,7.70000000,82.60000000,,82.60000000
ISR,Israel,2017,4.224425416667,2.90000000,82.70000000,,82.70000000
ITA,Italy,2017,11.300000000000,7.40000000,83.10000000,,83.10000000
JPN,Japan,2017,2.816666666667,7.20000000,84.20000000,,84.20000000
